Date,Team,Opponent,Home(0)/Away(1),Margin,Minutes,FGA,FGM,3PA,3PM,Rebounds,Assists,Steals,Blocks,Turnovers,Fouls,Points
2020-12-26,SAC,PHO,0, +3,15:21,6,4,1,0,3,0,0,1,0,1,8
2020-12-27,SAC,PHO,0, -16,15:54,1,0,0,0,1,1,0,0,1,1,0
2021-01-02,SAC,HOU,1, -8,20:38,7,2,3,1,3,2,0,0,0,0,5
2021-01-04,SAC,GSW,1, -31,18:44,4,1,3,1,2,0,0,0,0,2,8
2021-01-06,SAC,CHI,0, +4,24:25,7,5,3,2,3,2,0,0,0,0,14
2021-01-08,SAC,TOR,0, -21,17:10,5,3,3,1,2,1,0,0,0,2,9
2021-01-09,SAC,POR,0, -26,22:32,5,3,3,1,4,1,0,0,1,0,11
2021-01-11,SAC,IND,0, +5,20:40,7,3,3,1,3,2,0,0,1,1,7
2021-01-13,SAC,POR,0, -6,14:43,3,1,1,1,0,2,0,0,0,1,3
2021-01-15,SAC,LAC,0, -38,20:45,3,2,1,1,1,0,0,0,2,1,5
2021-01-17,SAC,NOP,0, -5,8:09,3,1,2,1,1,0,0,0,0,2,5
2021-01-20,SAC,LAC,1, -19,20:40,10,5,4,3,2,2,0,0,1,1,14
2021-01-22,SAC,NYK,0, +9,13:34,7,1,4,1,1,1,0,0,0,1,3
2021-01-27,SAC,ORL,1, +14,11:43,3,0,1,0,0,0,1,0,0,1,0
2021-01-29,SAC,TOR,1, +2,5:18,1,0,1,0,0,1,0,0,0,0,0
2021-02-03,SAC,BOS,0, +5,9:50,3,1,3,1,0,1,0,0,0,1,3
2021-02-06,SAC,DEN,0, +5,6:45,1,1,0,0,3,0,0,0,0,1,2
2021-02-07,SAC,LAC,1, +3,12:26,2,2,0,0,0,0,0,0,0,1,4
2021-02-09,SAC,PHI,0, -8,16:59,6,2,3,0,1,0,0,2,0,2,4
2021-02-12,SAC,ORL,0, -11,22:05,5,1,2,1,4,2,2,0,3,2,3
2021-02-14,SAC,MEM,0, -14,6:32,1,1,0,0,0,1,0,0,0,0,5
2021-02-15,SAC,BRK,0, -11,21:33,3,1,2,0,2,1,0,0,1,0,4
2021-02-18,SAC,MIA,0, -8,22:52,6,2,1,0,9,0,1,0,1,2,4
