Date,Team,Opponent,Home(0)/Away(1),Margin,Minutes,FGA,FGM,3PA,3PM,Rebounds,Assists,Steals,Blocks,Turnovers,Fouls,Points
2020-12-22,GSW,BRK,1, -26,25:39,14,3,6,0,7,2,1,2,3,1,6
2020-12-25,GSW,MIL,1, -39,19:46,10,1,5,0,5,1,1,0,2,3,3
2020-12-27,GSW,CHI,1, +1,30:18,16,3,6,0,11,0,4,0,3,3,8
2020-12-29,GSW,DET,1, +10,29:01,10,6,4,1,5,0,2,2,2,2,14
2021-01-01,GSW,POR,0, -25,28:07,12,4,4,0,4,0,0,1,2,2,10
2021-01-03,GSW,POR,0, +15,32:57,13,7,5,1,5,0,2,1,1,3,17
2021-01-04,GSW,SAC,0, +31,25:31,13,6,6,4,3,2,1,2,0,2,18
2021-01-06,GSW,LAC,0, -7,24:40,13,4,6,0,5,0,1,0,2,4,8
2021-01-08,GSW,LAC,0, +10,21:23,7,2,3,0,5,0,1,0,3,2,6
2021-01-10,GSW,TOR,0, +1,29:01,14,5,6,1,6,3,0,1,1,1,12
2021-01-12,GSW,IND,0, -9,29:06,11,6,7,3,5,2,0,1,1,1,17
2021-01-14,GSW,DEN,1, -10,30:25,10,3,8,3,5,2,1,1,1,2,14
2021-01-18,GSW,LAL,1, +2,37:05,18,9,8,2,4,0,2,2,0,2,23
2021-01-20,GSW,SAS,0, +22,30:37,11,4,4,2,9,0,1,1,0,3,16
2021-01-21,GSW,NYK,0, -15,31:18,11,2,4,0,6,3,1,1,0,3,7
2021-01-23,GSW,UTA,1, -19,24:20,8,2,2,0,2,1,0,0,1,3,5
2021-01-25,GSW,MIN,0, +22,27:33,9,4,3,2,6,4,3,1,1,0,14
2021-01-27,GSW,MIN,0, +12,24:22,9,7,3,2,9,3,2,1,4,4,20
2021-01-28,GSW,PHO,1, -21,25:32,11,1,5,0,4,1,1,0,1,2,4
2021-01-30,GSW,DET,0, +27,27:03,14,8,6,2,6,1,0,1,1,2,18
2021-02-02,GSW,BOS,0, -4,26:17,11,5,3,1,1,2,0,0,1,4,12
2021-02-04,GSW,DAL,1, +31,36:12,21,14,10,7,8,2,1,1,2,3,40
2021-02-06,GSW,DAL,1, -2,32:44,16,5,6,2,5,1,0,0,1,3,14
2021-02-08,GSW,SAS,1, -5,35:37,16,9,8,4,4,1,0,2,2,2,24
2021-02-09,GSW,SAS,1, +23,34:08,14,4,5,2,10,1,1,0,1,2,12
2021-02-11,GSW,ORL,0, +6,33:59,12,6,7,3,10,4,0,0,1,2,17
2021-02-13,GSW,BRK,0, -17,31:36,15,6,5,1,10,2,1,1,1,2,17
2021-02-15,GSW,CLE,0, +31,25:01,14,6,3,1,3,1,2,1,1,3,14
2021-02-17,GSW,MIA,0, +8,43:35,15,9,7,4,8,2,3,0,1,3,23
2021-02-19,GSW,ORL,1, -4,36:30,18,10,6,3,7,1,4,0,1,0,26
2021-02-20,GSW,CHO,1, -2,36:48,19,9,9,4,6,1,2,1,0,1,25
2021-02-23,GSW,NYK,1, +8,36:32,18,8,5,1,8,2,0,3,0,3,19
2021-02-24,GSW,IND,1, +4,36:06,15,7,4,1,5,0,0,0,0,0,17
2021-02-26,GSW,CHO,0, +9,37:37,15,11,6,3,6,3,1,0,2,2,27
2021-02-28,GSW,LAL,1, -26,25:54,10,6,2,0,5,1,0,0,2,2,14
2021-03-11,GSW,LAC,1, -26,32:27,14,7,5,1,6,0,0,1,1,2,15
2021-03-14,GSW,UTA,0, +12,30:12,8,2,3,0,7,1,1,1,0,3,7
2021-03-15,GSW,LAL,0, -31,28:22,9,5,4,1,2,1,2,0,5,3,12
2021-03-17,GSW,HOU,1, +14,35:38,16,8,6,1,4,1,1,0,0,2,19
2021-03-19,GSW,MEM,1, +13,28:53,7,2,3,0,4,1,1,2,1,1,4
2021-03-20,GSW,MEM,1, -8,28:19,13,4,4,1,6,2,0,2,1,3,12
2021-03-23,GSW,PHI,0, -10,35:10,14,8,4,2,10,3,0,1,0,3,24
2021-03-25,GSW,SAC,1, -22,32:36,17,8,6,3,4,2,0,0,0,4,19
2021-03-26,GSW,ATL,0, -16,28:12,13,5,5,1,6,2,2,1,0,2,14
2021-03-29,GSW,CHI,0, +14,35:49,19,8,3,0,11,0,1,0,0,2,18
2021-04-01,GSW,MIA,1, -7,34:52,11,4,3,0,4,1,1,0,2,2,8
2021-04-02,GSW,TOR,1, -53,18:28,11,3,4,2,7,1,0,0,2,0,9
2021-04-04,GSW,ATL,1, -6,37:11,16,9,6,2,11,2,2,3,1,5,20
2021-04-06,GSW,MIL,0, +1,37:06,14,6,8,4,6,1,2,0,3,3,19
2021-04-09,GSW,WAS,0, -3,36:36,13,8,8,4,6,2,1,0,1,1,23
2021-04-19,GSW,PHI,1, +11,21:55,6,2,1,0,2,0,0,0,2,2,9
2021-04-21,GSW,WAS,1, -4,36:36,17,8,4,2,9,1,0,2,4,2,24
2021-04-23,GSW,DEN,0, +21,32:30,16,9,7,3,6,3,3,2,1,1,23
2021-04-25,GSW,SAC,0, +4,31:08,17,8,7,1,7,0,0,0,1,2,19
2021-04-27,GSW,DAL,0, -30,23:08,10,2,7,2,3,0,1,0,0,1,10
